,Label,Precision,Recall,F1,Support
0,世界,0.8476343223736968,0.791049244125131,0.8183648188293591,6681
1,体育,0.9535237267890108,0.9326606479022835,0.9429768041237113,9415
2,军事,0.8719195849546044,0.8693824765599741,0.8706491824510281,6186
3,农业,0.8338587057296496,0.9084848484848485,0.8695736246736923,4950
4,娱乐,0.8823117688231177,0.899949005609383,0.8910431182469958,9805
5,房产,0.9180995475113122,0.9141698580761433,0.916130488768484,4439
6,教育,0.8913752222880854,0.890979114205303,0.8911771242314245,6751
7,文化,0.8548609198567888,0.8793201133144476,0.8669180282083508,7060
8,旅游,0.8297677820442494,0.8322024573629195,0.8309833363852775,5453
9,民生,0.7515388919977616,0.8565051020408163,0.8005961251862891,1568
10,汽车,0.9396441446679846,0.9095002251238181,0.9243264885889149,8884
11,游戏,0.9121694549379384,0.917243250576584,0.914699316782791,7371
12,疫情,0.9976958525345622,1.0,0.9988465974625144,866
13,科技,0.844690224013497,0.8759720062208398,0.860046762418285,10288
14,股票,0.1619047619047619,0.17894736842105263,0.17,95
15,金融,0.8344392296488105,0.7681764004767581,0.7999379411992864,6712
999,总体,0.8794301932411067,0.8787348224275828,0.878694978055357,96524
