,世界,体育,军事,农业,娱乐,房产,教育,文化,旅游,民生,汽车,游戏,科技,股票,金融
世界,5571,48,398,41,144,15,45,32,139,32,56,23,98,0,82
体育,47,8851,23,15,180,9,80,26,49,1,38,80,46,0,21
军事,532,20,5225,13,47,3,65,36,29,4,34,73,62,0,22
农业,45,2,14,4216,31,38,51,45,112,34,37,9,41,0,118
娱乐,70,59,48,26,9163,6,52,139,56,58,30,113,71,0,15
房产,23,4,6,49,11,4102,28,15,54,4,19,3,37,0,88
教育,35,12,10,34,97,26,6073,113,29,9,15,31,141,0,34
文化,73,23,37,83,180,19,178,6082,232,21,17,54,66,0,40
旅游,157,23,22,93,74,65,43,135,4524,6,93,30,59,0,26
民生,21,7,13,24,173,10,16,49,13,1214,19,17,17,0,5
汽车,33,10,17,32,67,19,33,12,141,6,8252,20,175,0,50
游戏,24,121,35,7,131,2,33,21,14,3,16,6689,169,0,10
科技,43,11,69,24,55,32,120,9,25,2,245,124,9228,0,374
股票,1,0,0,0,0,0,0,0,0,0,0,0,4,0,87
金融,111,8,24,153,30,129,76,12,50,4,51,28,732,1,5459
